CAR NUMBER,TEAM,UNIVERSITY,CATEGORY,COUNTRY
488,UniPR Racing Team,Università degli Studi di Parma,Driverless Electric,Italy
477,DHBW Engineering,DHBW Stuttgart,"Electric with Driver, Driverless Electric",Germany
73,TecnoCampus Motorsports,TecnoCampus,Electric with Driver,Spain
10,Formula Technion,"Technion, Israel Institute of Technology",Electric with Driver,Israel
427,EPFL Racing Team,EPFL,"Electric with Driver, Driverless Electric",Switzerland
165,Scuderia Mensa HS RheinMain Racing,UAS RheinMain,Electric with Driver,Germany
228,Córdoba Racing Team (CRT UCO),Universidad de Córdoba,Combustion with Driver,Spain
212,Formula Gades,University of Cadiz,Combustion with Driver,Spain
296,Ü Motorsport,Universidad Rey Juan Carlos,Combustion with Driver,Spain
373,MAD Formula Team,Universidad Carlos iii de Madrid,Combustion with Driver,Spain
214,UJI Motorsport,Universitat Jaume I,Hybrid with Driver,Spain
443,Bodensee Racing Team,UAS Konstanz,"Electric with Driver, Driverless Electric",Germany
492,ARUS,University of Seville,"Electric with Driver, Driverless Electric",Spain
65,PHISEC Racing,Polytechnic University of Coimbra,Electric with Driver,Portugal
79,e-Tech Racing,UPC EEBE,Electric with Driver,Spain
57,Eni Metz Racing Team,Ecole Nationale d'Ingénieurs de Metz ,Electric with Driver,France
454,BCN eMotorsport,UPC Barcelona,"Electric with Driver, Driverless Electric",Spain
133,ISC FS Racing Team,Universidad Pontificia de Comillas,Electric with Driver,Spain
64,MART,Universidad de Málaga,Electric with Driver,Spain
48,Formula Student Bizkaia,University of the Basque Country (UPV/EHU),Electric with Driver,Spain
269,UFV Racing,Universidad Francisco de Vitoria,Combustion with Driver,Spain
13,Valais Wallis Racing Team,HES-SO Valais-Wallis,Electric with Driver,Switzerland
71,Aixtreme Racing,FH-Aachen,Electric with Driver,Germany
111,BlueStreamline,Transilvania University of Brasov,Combustion with Driver,Romania
11,BlueStreamlinEV,Transilvania University of Brasov,Electric with Driver,Romania
83,Canarias Racing Team,University of La Laguna,Electric with Driver,Spain
05,ISEL Formula Student,Instituto Superior de Engenharia de Lisboa,Electric with Driver,Portugal
119,eMotion Racing,UAS Ruhr West,Electric with Driver,Germany
18,Formula USAL,University of Salamanca ,Electric with Driver,Spain
14,Tecnun eRacing,Tecnun-University of Navarra,Electric with Driver,Spain
25,EUSS Motorsport,Escola Universitària Salesiana de Sarrià,Electric with Driver,Spain
46,Squadra Corse PoliTO,Politecnico di Torino,Electric with Driver,Italy
94,Rennstall Esslingen,UAS Esslingen,Electric with Driver,Germany
415,UPC ecoRacing,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa(UPC)","Electric with Driver, Driverless Electric",Spain
383,Formula UEM,Universidad Europea de Madrid,Combustion with Driver,Spain
450,FST Lisboa,Universidade de Lisboa - Instituto Superior Técnico,"Electric with Driver, Driverless Electric",Portugal
02,Aurora Racing,Shenzhen Technology University,Electric with Driver,China
28,Uniovi eTech Racing,Universidad de Oviedo,Electric with Driver,Spain
261,UPCT Racing Team,Universidad Politécnica de Cartagena,Combustion with Driver,Spain
312,UCLM Racing Team,Universidad de Castilla-La Mancha,Combustion with Driver,Spain
207,NOVA Formula Student,NOVA University of Lisbon,Combustion with Driver,Portugal
333,VallRacing Team,Universidad de Valladolid (UVa),Combustion with Driver,Spain
288,Nova Racing Team,EPSEVG - Universitat Politècnica de Catalunya  ,Combustion with Driver,Spain
125,Dynamics UPC Manresa,Escola Politècnica Superior d'Enginyeria de Manresa,Electric with Driver,Spain
226,Os.Car Racing Team,UAS Vienna,Hybrid with Driver,Austria
72,Bremergy,Universität Bremen,Electric with Driver,Germany
81,EPSA,Centrale Lyon,Electric with Driver,France
468,Delta Racing,UAS Mannheim,"Electric with Driver, Driverless Electric",Germany 
211,UWE Formula Student,"University of the West of England, Bristol",Hybrid with Driver,United Kingdom
22,Deefholt Dynamics e.V.,PHWT- Private Hochschule für Wirtschaft und Technik,Electric with Driver,Germany
84,Campus Motorsport Hannover,UAS Hannover,Electric with Driver,Germany
164,Kaiserslautern Racing Team e.V.,"""	Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau + UAS""",Electric with Driver,Germany
224,Formula Student Arts et Métiers,FSAM Lille,Combustion with Driver,France
63,SIGMA RACING,SIGMA CLERMONT,Electric with Driver,France
99,Black Forest Formula,Hochschule Offenburg,Electric with Driver,Germany
455,BGRacing,Ben Gurin university of the Negev,"Electric with Driver, Driverless Electric",Israel
75,Team Spark,University of Iceland,Electric with Driver,Iceland
34,UAH MOTORSPORT,UNIVERSIDAD DE ALCALÁ DE HENARES,Electric with Driver,Spain
7,Team Sakthi Racing,Kumaraguru College of Technology,Combustion with Driver,
5,NED Racers,NED University of Engineering & Technology,Combustion with Driver,
